NegSD_NegSR,NeuSD_NeuSR,AmbSD_AmbSR
0.908499,-0.886909,-0.605567
0.334592,-0.569622,-0.573407
0.144793,-0.835402,0.437434
0.878872,0.382611,1.37279
0.134331,2.25872,0.58832
1.58313,1.91688,1.01936
2.07026,1.15109,0.7531
1.37311,0.874415,-0.670258
-0.0404799,-1.02466,-0.586875
1.16809,1.64892,-0.357353
0.833088,0.620202,0.0951794
0.0432105,-0.0802301,-0.58355
-0.994586,0.804991,0.433112
1.51376,0.659311,-0.0300945
-0.0217456,1.09756,0.25034
1.58705,0.858869,0.869275
1.56468,0.83093,-0.188313
0.794133,0.975039,0.47291
