date,maxTemp,meanTemp,minTemp,maxDew,meanDew,minDew,maxHum,meanHum,minHum,maxPress,meanPress,minPress,maxVis,meanVis,minVis,maxWind,meanWind,maxGust,precip,clouds,events,windDirDeg
2008-1-1,41,31,21,29,23,16,88,74,59,30.07,29.90,29.65,10,3,0,37,21,46,0.37,8,Fog-Rain-Snow,251
2008-1-2,27,20,13,20,14,8,84,73,62,30.67,30.38,30.04,10,4,0,23,12,31,0.13,8,Fog-Snow,290
2008-1-3,20,14,8,10,6,3,83,73,62,30.82,30.71,30.60,10,7,1,17,11,21,T,6,Snow,219
2008-1-4,34,26,17,12,10,9,67,51,35,30.58,30.45,30.31,10,10,10,22,14,29,0.00,5,,197
2008-1-5,40,36,32,36,26,12,85,63,41,30.29,30.16,30.09,10,9,5,17,12,25,0.05,8,Rain,189
2008-1-6,57,48,39,48,43,36,89,80,71,30.11,30.05,29.99,10,9,5,23,13,32,T,8,,184
2008-1-7,65,61,56,53,51,48,77,70,63,30.12,30.05,30.01,10,10,10,23,15,30,0.01,7,Rain,198
2008-1-8,65,59,52,52,50,47,93,73,52,30.06,29.85,29.51,10,8,2,29,14,41,1.42,8,Rain,200
2008-1-9,61,47,33,52,36,28,90,74,57,30.21,29.89,29.42,10,9,2,48,17,63,0.18,7,Rain,241
2008-1-10,48,39,30,43,30,19,85,61,36,30.20,29.89,29.48,10,8,4,26,9,35,0.19,7,Rain,128
2008-1-11,51,44,36,45,34,28,86,74,62,29.95,29.65,29.44,10,10,8,32,17,41,0.03,8,Rain,227
2008-1-12,39,34,29,28,25,23,78,69,59,30.15,30.10,29.96,10,10,7,13,6,16,0.00,5,,226
2008-1-13,38,34,29,31,28,23,89,77,64,30.11,29.95,29.88,10,6,2,18,6,24,0.20,8,Rain-Snow,170
2008-1-14,34,30,26,28,23,19,85,79,72,30.00,29.95,29.90,9,5,2,22,14,28,0.08,8,Snow,241
2008-1-15,30,26,22,25,20,17,88,81,74,30.25,30.00,29.89,10,4,0,22,13,29,0.24,8,Fog-Snow,245
2008-1-16,32,26,20,20,18,14,92,75,58,30.40,30.31,30.23,10,9,6,14,8,16,T,6,Snow,191
2008-1-17,38,34,29,32,26,19,82,69,56,30.22,29.97,29.78,10,10,7,20,11,25,0.01,8,Rain-Snow,177
2008-1-18,37,30,22,31,14,5,76,56,35,30.12,30.01,29.81,10,10,8,14,15,20,T,3,Rain-Snow,243
2008-1-19,28,19,10,18,9,-1,68,59,49,30.23,30.13,30.06,10,9,6,22,15,29,T,7,Snow,254
